Date,Visitor/Neutral,PTS,Home/Neutral,PTS
"Tue, Oct 27, 2009",BOS,95,CLE,89
"Tue, Oct 27, 2009",WAS,102,DAL,91
"Tue, Oct 27, 2009",LAC,92,LAL,99
"Tue, Oct 27, 2009",HOU,87,POR,96
"Wed, Oct 28, 2009",IND,109,ATL,120
"Wed, Oct 28, 2009",CHA,59,BOS,92
"Wed, Oct 28, 2009",UTA,105,DEN,114
"Wed, Oct 28, 2009",HOU,108,GSW,107
"Wed, Oct 28, 2009",PHX,109,LAC,107
"Wed, Oct 28, 2009",DET,96,MEM,74
"Wed, Oct 28, 2009",NYK,93,MIA,115
"Wed, Oct 28, 2009",BKN,93,MIN,95
"Wed, Oct 28, 2009",SAC,89,OKC,102
"Wed, Oct 28, 2009",PHI,106,ORL,120
"Wed, Oct 28, 2009",NOH,96,SAS,113
"Wed, Oct 28, 2009",CLE,91,TOR,101
"Thu, Oct 29, 2009",SAS,85,CHI,92
"Thu, Oct 29, 2009",DEN,97,POR,94
"Fri, Oct 30, 2009",WAS,89,ATL,100
"Fri, Oct 30, 2009",CHI,90,BOS,118
"Fri, Oct 30, 2009",NYK,100,CHA,102
"Fri, Oct 30, 2009",OKC,91,DET,83
"Fri, Oct 30, 2009",MIA,96,IND,83
"Fri, Oct 30, 2009",DAL,94,LAL,80
"Fri, Oct 30, 2009",TOR,107,MEM,115
"Fri, Oct 30, 2009",CLE,104,MIN,87
"Fri, Oct 30, 2009",ORL,95,BKN,85
"Fri, Oct 30, 2009",SAC,92,NOH,97
"Fri, Oct 30, 2009",MIL,86,PHI,99
"Fri, Oct 30, 2009",GSW,101,PHX,123
"Fri, Oct 30, 2009",LAC,98,UTA,111
"Sat, Oct 31, 2009",CHA,79,CLE,90
"Sat, Oct 31, 2009",POR,107,HOU,111
"Sat, Oct 31, 2009",DAL,93,LAC,84
"Sat, Oct 31, 2009",DET,85,MIL,96
"Sat, Oct 31, 2009",PHI,141,NYK,127
"Sat, Oct 31, 2009",SAC,94,SAS,113
"Sat, Oct 31, 2009",BKN,104,WAS,123
"Sun, Nov 1, 2009",NOH,87,BOS,97
"Sun, Nov 1, 2009",MEM,123,DEN,133
"Sun, Nov 1, 2009",ATL,110,LAL,118
"Sun, Nov 1, 2009",CHI,87,MIA,95
"Sun, Nov 1, 2009",POR,83,OKC,74
"Sun, Nov 1, 2009",MIN,112,PHX,120
"Sun, Nov 1, 2009",ORL,125,TOR,116
"Mon, Nov 2, 2009",BKN,68,CHA,79
"Mon, Nov 2, 2009",MIN,90,LAC,93
"Mon, Nov 2, 2009",NOH,111,NYK,117
"Mon, Nov 2, 2009",MEM,116,SAC,127
"Mon, Nov 2, 2009",HOU,113,UTA,96
"Tue, Nov 3, 2009",MIL,81,CHI,83
"Tue, Nov 3, 2009",WAS,90,CLE,102
"Tue, Nov 3, 2009",UTA,85,DAL,96
"Tue, Nov 3, 2009",ORL,80,DET,85
"Tue, Nov 3, 2009",DEN,111,IND,93
"Tue, Nov 3, 2009",PHX,104,MIA,96
"Tue, Nov 3, 2009",LAL,101,OKC,98
"Tue, Nov 3, 2009",BOS,105,PHI,74
"Tue, Nov 3, 2009",ATL,97,POR,91
"Wed, Nov 4, 2009",MEM,105,GSW,113
"Wed, Nov 4, 2009",LAL,103,HOU,102
"Wed, Nov 4, 2009",BOS,92,MIN,90
"Wed, Nov 4, 2009",DEN,122,BKN,94
"Wed, Nov 4, 2009",DAL,107,NOH,114
"Wed, Nov 4, 2009",IND,101,NYK,89
