Date,Visitor/Neutral,PTS,Home/Neutral,PTS.1
"Tue, Oct 29, 2013",ORL,87.0,IND,97.0
"Tue, Oct 29, 2013",LAC,103.0,LAL,116.0
"Tue, Oct 29, 2013",CHI,95.0,MIA,107.0
"Wed, Oct 30, 2013",BKN,94.0,CLE,98.0
"Wed, Oct 30, 2013",ATL,109.0,DAL,118.0
"Wed, Oct 30, 2013",WAS,102.0,DET,113.0
"Wed, Oct 30, 2013",LAL,94.0,GSW,125.0
"Wed, Oct 30, 2013",CHA,83.0,HOU,96.0
"Wed, Oct 30, 2013",ORL,115.0,MIN,120.0
"Wed, Oct 30, 2013",IND,95.0,NOH,90.0
"Wed, Oct 30, 2013",MIL,83.0,NYK,90.0
"Wed, Oct 30, 2013",MIA,110.0,PHI,114.0
"Wed, Oct 30, 2013",POR,91.0,PHX,104.0
"Wed, Oct 30, 2013",DEN,88.0,SAC,90.0
"Wed, Oct 30, 2013",MEM,94.0,SAS,101.0
"Wed, Oct 30, 2013",BOS,87.0,TOR,93.0
"Wed, Oct 30, 2013",OKC,101.0,UTA,98.0
"Thu, Oct 31, 2013",NYK,81.0,CHI,82.0
"Thu, Oct 31, 2013",GSW,115.0,LAC,126.0
"Fri, Nov 1, 2013",TOR,95.0,ATL,102.0
"Fri, Nov 1, 2013",MIL,105.0,BOS,98.0
"Fri, Nov 1, 2013",MIA,100.0,BKN,101.0
"Fri, Nov 1, 2013",CLE,84.0,CHA,90.0
"Fri, Nov 1, 2013",POR,113.0,DEN,98.0
"Fri, Nov 1, 2013",DAL,105.0,HOU,113.0
"Fri, Nov 1, 2013",SAS,91.0,LAL,85.0
"Fri, Nov 1, 2013",DET,108.0,MEM,111.0
"Fri, Nov 1, 2013",OKC,81.0,MIN,100.0
"Fri, Nov 1, 2013",NOH,90.0,ORL,110.0
"Fri, Nov 1, 2013",UTA,84.0,PHX,87.0
"Fri, Nov 1, 2013",LAC,110.0,SAC,101.0
"Fri, Nov 1, 2013",PHI,109.0,WAS,102.0
"Sat, Nov 2, 2013",MEM,99.0,DAL,111.0
"Sat, Nov 2, 2013",SAC,87.0,GSW,98.0
"Sat, Nov 2, 2013",CLE,74.0,IND,89.0
"Sat, Nov 2, 2013",TOR,97.0,MIL,90.0
"Sat, Nov 2, 2013",CHA,84.0,NOH,105.0
"Sat, Nov 2, 2013",CHI,104.0,PHI,107.0
"Sat, Nov 2, 2013",SAS,105.0,POR,115.0
"Sat, Nov 2, 2013",HOU,104.0,UTA,93.0
"Sun, Nov 3, 2013",BOS,77.0,DET,87.0
"Sun, Nov 3, 2013",ATL,103.0,LAL,105.0
