,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
0,DAL,79.33080602,40.24488543,Shawn Dwayne Marion,80.04392467,13.33105031,80.18280437,14.12870595
1,LAL,76.14682678,26.53216756,Pau Gasol,90.21768278,12.41122882,97.87546592,14.04231843
2,TOR,77.30232107,24.16384627,DeMar Darnell DeRozan,71.4192466,11.4366835,67.94688249,12.9829127
3,WAS,65.19791607,32.89981736,Bradley Emmanuel Beal,63.60986625,15.30559041,58.31861703,17.29062129
4,WAS,64.98850339,23.12171668,Johnathan Hildred Wall Jr.,66.42742565,9.014342477,65.63570659,9.788918823
5,MIN,55.15877701,26.22258131,Derrick Williams,48.21878012,10.08590643,51.44688534,10.92645473
6,DEN,60.31761722,31.49760431,Randy Foye,54.63376218,15.18233408,55.05806032,17.32821364
7,MIN,,,Robbie Hummel,,,,
8,TOR,60.61496986,29.79672627,Kyle Lowry,63.05073581,15.20996641,57.31341449,17.68800449
9,CHA,28.05586422,22.18915483,Jannero Pargo,23.52800675,8.95064145,26.73345243,9.781769571
10,CHA,,,James Southerland,,,,
11,DAL,51.19899277,45.96670032,Samuel Davis Dalembert,85.00843342,26.83089834,81.25076522,33.04430957
12,DEN,53.43710362,25.03150783,Nathaniel Cornelius Robinson,43.02884862,15.51458669,47.08621814,19.76989997
13,POR,34.77703389,30.23379635,Thomas Earl Robinson,29.6852449,9.392966941,30.35420795,9.881973332
14,TOR,40.818009,67.51036963,Aaron Michael Gray,32.57681868,20.68627777,34.17220826,21.73162078
15,NOP,23.33071047,22.29065548,Anthony Jarrad Morrow,53.04243674,16.56880724,56.98497976,24.76837542
16,ORL,95.85614332,45.71128379,Nikola Vucevic,76.24416865,26.44853649,70.28663236,32.42785549
17,LAL,48.4012659,32.74798222,Jodie Meeks,56.87676508,19.25917487,48.07341411,23.81243948
18,BRK,59.93514351,30.62629448,Jason Eugene Terry,63.40786725,12.10427979,69.5218887,13.17710271
19,SAS,66.68181118,33.88326328,Daniel Richard Green Jr.,45.07880242,19.69828435,42.38909923,24.20982545
20,SAC,58.78646578,27.24790894,Isaiah Thomas,57.40305639,14.69069768,55.33914084,17.44303297
21,BOS,76.49831932,53.59812903,Brandon Sam Bass,63.1859705,19.74302232,62.5770301,21.23622466
22,BOS,65.37300752,46.44316236,Jared Sullinger,55.35637752,19.86916972,54.15834075,21.98244256
23,ATL,76.87695332,25.91650965,Paul Millsap,77.27419544,16.67473595,80.24366937,21.78199437
24,MEM,66.06663016,23.59826882,Tayshaun Durell Prince,69.40972733,10.31641422,73.40318553,11.47058779
25,PHI,,,Elliot Jerell Williams,,,11.03833074,7.512974302
26,SAC,46.88221329,27.33128951,Luc Richard Mbah a Moute,60.39477653,21.59043278,72.79060992,35.21131519
27,SAS,26.27296389,23.74619386,Patrick Sammie Mills,24.69742508,12.29526809,20.03474098,14.37177842
28,IND,78.86604952,29.47300264,George Jesse Hill Jr.,61.08650339,16.55914328,58.16794793,20.01721298
29,PHI,,,Michael Carter-Williams,,,,
30,DAL,36.28200323,30.18850222,DeJuan Lamont Blair,55.58098692,12.91507575,53.59486259,14.28869662
31,DAL,61.77791943,23.45325232,Vincent Lamar Carter Jr.,61.84575077,13.22734269,68.35761319,16.01793475
32,CLE,,,Anthony Harris Bennett,,,,
33,MEM,88.94469491,29.31186194,Marc Gasol,91.14339285,14.23599994,93.83040981,16.28571719
34,IND,18.95244809,19.14450953,Donald Wayne Sloan,20.51052511,11.45078361,19.64208745,14.28840618
35,DET,33.56032263,26.91075175,Charlie Alexander Villanueva,37.37519868,15.70119365,47.0640837,19.33296982
36,OKC,,,Ryan Anthony Gomes,,,59.42229201,22.70766313
37,IND,78.97402385,26.67549804,David Moorer West,81.65544778,8.992766984,83.9942231,9.551909822
38,DET,71.35881731,55.86137189,Kyle Edward Singler,67.90094519,11.71923391,68.46759512,11.98596755
39,BOS,,,Vitor Faverani,,,,
40,CHA,,,Cody Allen Zeller,,,,
41,BOS,,,Kelly Tyler Olynyk,,,,
42,UTA,64.21383296,40.00079085,Derrick Bernard Favors,69.30035316,18.89973767,66.04897038,21.44434038
43,MIL,50.66458313,47.19873186,Ekpedeme Friday Udoh,45.97562417,11.82314702,45.4333132,12.21251445
44,PHI,12.85115387,15.56782368,Tony LeonDre Wroten Jr.,16.51102432,6.554344391,9.883268724,7.225985488
45,ORL,21.39046837,25.59996219,Doron Emmanuel Calvin Lamb,16.46215813,12.72728175,18.8984692,14.66853336
46,CLE,,,Sergey Karasev,,,,
47,ATL,26.52830333,32.99313849,James Michael Scott,29.70779565,16.60780229,26.46247319,19.22043271
48,CHI,34.79413892,27.20717068,Michael Lamont James,18.58724809,15.41894901,26.96854377,18.71440855
49,DEN,4.693099413,5.487956394,Quincy Cortez Miller,4.766459426,2.162546976,4.984421971,2.352927988
50,ORL,43.28896598,26.60356628,E'Twaun Donte Moore,37.07255081,14.35638106,28.45560997,17.05245839
51,POR,89.11097034,25.68082178,LaMarcus Nurae Aldridge,90.08270225,9.502827368,92.04270425,10.22890101
52,PHO,,,Dionte Christmas,,,,
