,Tm,frequentist_mew,frequentist_sigma,name,posterior_mew,posterior_sigma,prior_mew,prior_sigma
0,DAL,11.234328358208955,5.614734141014198,Shawn Dwayne Marion,10.616042714518734,4.033606837465196,11.053485576923077,5.798464743326434
1,LAL,12.055102040816328,6.2547308209585575,Pau Gasol,13.516733427573158,4.508045203774591,16.280637254901972,6.5032037795095885
2,TOR,11.515853658536587,6.488873582435406,DeMar Darnell DeRozan,12.0672249783518,4.663134836534997,9.430921052631575,6.705812811841049
3,WAS,9.10357142857143,7.1603313043290875,Bradley Emmanuel Beal,10.701785714285714,5.063118820833414,9.10357142857143,7.1603313043290875
4,WAS,14.655102040816328,8.08564011133292,Johnathan Hildred Wall Jr.,14.929540939319434,5.466722002862307,13.52826086956522,7.419470948075634
5,MIN,7.739743589743592,5.205725145762896,Derrick Williams,4.903820345107603,3.7421305323836553,6.83263888888889,5.383073134334956
6,DEN,6.718292682926829,5.966044733992132,Randy Foye,6.833710981951263,4.434181782856319,7.571722365038555,6.627788532993938
7,MIN,,,Robbie Hummel,,,,
8,TOR,10.66323529411765,6.951637649033515,Kyle Lowry,10.528634454560601,4.831769598836038,9.400479616306955,6.7205293956278584
9,CHA,3.534375,5.143175659004366,Jannero Pargo,1.8076849359121991,3.6794166336805376,3.7813333333333343,5.265958433392939
10,CHA,,,James Southerland,,,,
11,DAL,6.180851063829786,6.615315508400968,Samuel Davis Dalembert,8.04200411081047,4.364782431897612,7.702511415525115,5.808544964621868
12,DEN,9.242682926829268,6.245642978632206,Nathaniel Cornelius Robinson,7.45950264965903,4.761925919563305,8.484263959390871,7.3593344222454835
13,POR,3.4257142857142857,3.851741191212311,Thomas Earl Robinson,3.152857142857143,2.7235923156817754,3.4257142857142857,3.851741191212311
14,TOR,2.1309523809523805,4.3861518058999165,Aaron Michael Gray,1.9185393704818121,2.8443732591764377,2.9117437722419903,3.736580375466164
15,NOP,2.397560975609756,3.497071095399975,Anthony Jarrad Morrow,6.337975927835993,3.117066610440061,7.147474747474745,6.875741920435422
16,ORL,12.033766233766238,6.4318729551808715,Nikola Vucevic,11.488890511497855,4.7708269313842795,8.976562499999998,7.113427931285573
17,LAL,5.226923076923078,4.992242008970931,Jodie Meeks,7.35769273619981,3.746783106315253,5.385611510791365,5.6696727114386025
18,BKN,7.248101265822788,5.430221590450137,Jason Eugene Terry,5.845056179552883,4.198439504455086,10.861050328227577,6.619962962049808
19,SAS,8.255000000000003,6.31353506365491,Daniel Richard Green Jr.,7.06439688366441,4.367084247978271,6.842528735632187,6.047059362932483
